timestamp,speed_up,speed_down,want_takeoff
218438792,3.6000001,2.0,1
219438946,3.6000001,2.0,1
220439001,3.6000001,2.0,1
221439096,3.6000001,2.0,1
222439190,3.6000001,2.0,1
223439213,3.6000001,2.0,1
224439331,3.6000001,2.0,1
225439398,3.6000001,2.0,1
226439531,3.6000001,2.0,1
227419667,3.6000001,2.0,1
228439663,3.6000001,2.0,1
229439713,3.6000001,2.0,1
230439801,3.6000001,2.0,1
231419892,3.6000001,2.0,1
232440068,3.6000001,2.0,1
233440175,3.6000001,2.0,1
234420237,3.6000001,2.0,1
235420302,3.6000001,2.0,1
236440385,3.6000001,2.0,1
237440563,3.6000001,2.0,1
238420621,3.6000001,2.0,1
239420655,3.6000001,2.0,1
240440702,3.6000001,2.0,1
241420857,3.6000001,2.0,1
242420964,3.6000001,2.0,1
243440988,3.6000001,2.0,1
244441110,3.6000001,2.0,1
245421204,3.6000001,2.0,1
246421307,3.6000001,2.0,1
247441363,3.6000001,2.0,1
248421505,3.6000001,2.0,1
249421751,3.6000001,2.0,1
250421800,3.6000001,2.0,1
251441739,3.6000001,2.0,0
252421886,3.6000001,2.0,0
253421970,3.6000001,2.0,0
254437352,3.6000001,2.0,0
255437333,3.6000001,2.0,0
256437266,3.6000001,2.0,0
257437367,3.6000001,2.0,0
258437540,3.6000001,2.0,0
259437732,3.6000001,2.0,0
260437825,3.6000001,2.0,0
261437798,3.6000001,2.0,0
262437821,3.6000001,2.0,0
263437947,3.0,2.0,0
264438132,3.0,2.0,0
265438148,3.0,2.0,0
266438199,3.0,2.0,0
267438361,3.0,2.0,0
268438443,3.0,2.0,0
268778612,3.0,2.0,0
383438020,3.0,2.0,0
383457896,3.0,2.0,0
384437855,3.0,2.0,0
385438081,3.0,2.0,0
386437982,3.0,2.0,0
387438298,3.6000001,2.0,0
388438269,3.6000001,2.0,0
389438118,3.6000001,2.0,0
390438242,3.6000001,2.0,1
391438345,3.6000001,2.0,0
392438435,3.6000001,2.0,0
393438550,3.6000001,2.0,0
394438554,3.6000001,2.0,0
395438597,3.6000001,2.0,0
396438805,3.6000001,2.0,0
397438739,3.6000001,2.0,0
398438844,3.6000001,2.0,0
399438898,3.6000001,2.0,0
400438951,3.6000001,2.0,0
401439093,3.6000001,2.0,0
402439051,3.6000001,2.0,0
403439108,3.6000001,2.0,0
404439155,3.6000001,2.0,0
405439224,3.6000001,2.0,0
406439295,3.6000001,2.0,0
407439363,3.6000001,2.0,0
408439465,3.6000001,2.0,0
409439529,3.6000001,2.0,0
410439618,3.6000001,2.0,0
411439664,3.6000001,2.0,0
412439725,3.6000001,2.0,0
413439801,3.6000001,2.0,0
414439936,3.6000001,2.0,0
415439928,3.6000001,2.0,0
416439998,3.6000001,2.0,0
417440092,3.6000001,2.0,0
418440167,3.6000001,2.0,0
419440383,3.6000001,2.0,0
420440366,3.6000001,2.0,0
421440361,3.6000001,2.0,0
422440444,3.6000001,2.0,0
423440569,3.6000001,2.0,0
424440742,3.6000001,2.0,0
425440664,3.6000001,2.0,0
426440743,3.6000001,2.0,0
427440818,3.6000001,2.0,0
428440903,3.6000001,2.0,0
429440982,3.6000001,2.0,0
430441117,3.6000001,2.0,0
431441149,3.6000001,2.0,0
432441303,3.6000001,2.0,0
433441315,3.6000001,2.0,0
434441378,3.6000001,2.0,0
435441605,3.6000001,2.0,0
436441537,3.6000001,2.0,0
437441796,3.6000001,2.0,0
438441686,3.6000001,2.0,0
439421907,3.6000001,2.0,0
440441857,3.6000001,2.0,0
441441959,3.6000001,2.0,0
442442072,3.6000001,2.0,0
443422207,3.6000001,2.0,0
444442348,3.6000001,2.0,0
445442528,3.6000001,2.0,0
446442410,3.6000001,2.0,0
447422477,3.6000001,2.0,0
448442590,3.6000001,2.0,0
449442752,3.6000001,2.0,0
450422725,3.6000001,2.0,0
451422821,3.6000001,2.0,0
452442961,3.6000001,2.0,0
453443191,3.6000001,2.0,0
454423079,3.6000001,2.0,0
455423240,3.6000001,2.0,0
456443266,3.6000001,2.0,0
457433357,3.6000001,2.0,0
458433559,3.6000001,2.0,0
459433614,3.6000001,2.0,0
460433643,3.6000001,2.0,0
461433754,3.6000001,2.0,0
462433830,3.6000001,2.0,0
463433933,3.6000001,2.0,0
464434016,3.6000001,2.0,0
465434137,3.6000001,2.0,0
466434310,3.6000001,2.0,0
467436812,3.6000001,2.0,0
468434471,3.6000001,2.0,0
469434581,3.6000001,2.0,0
470434661,3.6000001,2.0,0
471434819,3.6000001,2.0,0
472434921,3.6000001,2.0,0
473434929,3.6000001,2.0,0
474435055,3.6000001,2.0,0
475435288,3.6000001,2.0,0
476435324,3.6000001,2.0,0
477435495,3.6000001,2.0,0
478435441,3.0,2.0,0
479435587,3.0,2.0,0
480435648,3.0,2.0,0
481435754,3.0,2.0,0
482435926,3.0,2.0,0
483435986,3.0,2.0,0
484436128,3.0,2.0,0
485436376,3.0,2.0,0
486436402,3.0,2.0,0
487436676,3.0,2.0,0
488436724,3.0,2.0,0
489436899,3.0,2.0,0
490436838,3.0,2.0,0
491436929,3.0,2.0,0
492437050,3.0,2.0,0
493437282,3.0,2.0,0
494437341,3.0,2.0,0
495437352,3.0,2.0,0
496437490,3.0,2.0,0
497437565,3.0,2.0,0
498437689,3.0,2.0,0
499437969,3.0,2.0,0
500437958,3.0,2.0,0
501438216,3.0,2.0,0
502438372,3.0,2.0,0
503438295,3.0,2.0,0
504438466,3.0,2.0,0
505438693,3.0,2.0,0
506438783,3.0,2.0,0
507439128,3.0,2.0,0
508438904,3.0,2.0,0
509439003,3.0,2.0,0
510434237,3.0,2.0,0
