timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
216498688,0,1,1,1,1,1,1,0,0,1,1
217498760,0,1,1,1,1,1,1,0,0,1,1
218039122,0,1,1,1,0,0,1,0,0,1,1
218058911,0,1,1,1,1,1,1,0,0,1,1
219059089,0,1,1,1,1,1,1,0,0,1,1
219068904,0,1,0,0,1,1,1,0,0,1,0
219328915,0,0,0,0,1,1,0,0,0,1,0
220328964,0,0,0,0,1,0,0,0,0,1,0
221329042,0,0,0,0,1,0,0,0,0,1,0
222329197,0,0,0,0,1,0,0,0,0,1,0
223329210,0,0,0,0,1,0,0,0,0,1,0
224069467,0,0,0,0,0,0,0,1,0,1,0
225079509,0,0,0,0,0,0,0,1,0,1,0
226079552,0,0,0,0,0,0,0,1,0,1,0
227079592,0,0,0,0,0,0,0,1,0,1,0
228079792,0,0,0,0,0,0,0,1,0,1,0
229089756,0,0,0,0,0,0,0,1,0,1,0
230089815,0,0,0,0,0,0,0,1,0,1,0
231090073,0,0,0,0,0,0,0,1,0,1,0
232100107,0,0,0,0,0,0,0,1,0,1,0
233100135,0,0,0,0,0,0,0,1,0,1,0
234100237,0,0,0,0,0,0,0,1,0,1,0
235100383,0,0,0,0,0,0,0,1,0,1,0
236100403,0,0,0,0,0,0,0,1,0,1,0
237100505,0,0,0,0,0,0,0,1,0,1,0
238100604,0,0,0,0,0,0,0,1,0,1,0
239100712,0,0,0,0,0,0,0,1,0,1,0
240100732,0,0,0,0,0,0,0,1,0,1,0
241100886,0,0,0,0,0,0,0,1,0,1,0
242100915,0,0,0,0,0,0,0,1,0,1,0
243101077,0,0,0,0,0,0,0,1,0,1,0
244101096,0,0,0,0,0,0,0,1,0,1,0
245101228,0,0,0,0,0,0,0,1,0,1,0
246101285,0,0,0,0,0,0,0,1,0,1,0
247101444,0,0,0,0,0,0,0,1,0,1,0
248101534,0,0,0,0,0,0,0,1,0,1,0
249101573,0,0,0,0,0,0,0,1,0,1,0
250101666,0,0,0,0,0,0,0,1,0,1,0
251101815,0,0,0,0,0,0,0,1,0,1,0
252101884,0,0,0,0,0,0,0,1,0,1,0
253101945,0,0,0,0,0,0,0,1,0,1,0
254107035,0,0,0,0,0,0,0,1,1,1,0
255107302,0,0,0,0,0,0,0,0,1,1,0
256117318,0,0,0,0,0,0,0,0,1,1,0
257117408,0,0,0,0,0,0,0,1,1,1,0
258117516,0,0,0,0,0,0,0,0,0,1,0
259117560,0,0,0,0,0,0,0,0,1,1,0
260117728,0,0,0,0,0,0,0,0,1,1,0
261117748,0,0,0,0,0,0,0,0,0,1,0
262117833,0,0,0,0,0,0,0,0,0,1,0
263117990,0,0,0,0,0,0,0,0,0,1,0
264118113,0,0,0,0,0,0,0,1,1,1,0
265118303,0,0,0,0,0,0,0,1,1,1,0
266118305,0,0,0,0,0,0,1,1,1,1,0
267118411,0,0,0,0,0,0,1,1,1,1,0
268118445,0,0,0,0,0,0,1,1,1,1,0
269118462,0,0,0,0,0,0,1,1,1,1,0
270118710,0,0,0,0,0,0,1,1,1,1,0
271118796,0,0,0,0,0,0,1,1,1,1,0
272118891,0,0,0,0,0,0,1,1,1,1,0
273119033,0,0,0,0,0,0,1,1,1,1,0
274128995,0,0,0,0,0,0,1,1,1,1,0
275129326,0,0,0,0,0,0,1,0,1,1,0
276139276,0,0,0,0,0,0,1,1,1,1,0
277139554,0,0,0,0,0,0,1,1,1,1,0
278149366,0,0,0,0,0,0,1,1,1,1,0
279149559,0,0,0,0,0,0,1,1,1,1,0
280159620,0,0,0,0,0,0,1,1,1,1,0
281159847,0,0,0,0,0,0,1,1,1,1,0
282169801,0,0,0,0,0,0,1,1,1,1,0
283169923,0,0,0,0,0,0,1,1,1,1,0
284170051,0,0,0,0,0,0,1,1,1,1,0
285180138,0,0,0,0,0,0,1,0,1,1,0
286180451,0,0,0,0,0,0,1,0,1,1,0
287190296,0,0,0,0,0,0,1,0,1,1,0
288190447,0,0,0,0,0,0,1,1,1,1,0
289200495,0,0,0,0,0,0,1,1,1,1,0
290200693,0,0,0,0,0,0,1,0,1,1,0
291210635,0,0,0,0,0,0,1,1,1,1,0
292210799,0,0,0,0,0,0,1,1,1,1,0
293210804,0,0,0,0,0,0,1,0,1,1,0
294210894,0,0,0,0,0,0,1,1,1,1,0
295210981,0,0,0,0,0,0,1,0,1,1,0
296211118,0,0,0,0,0,0,1,0,1,1,0
297211148,0,0,0,0,0,0,1,1,1,1,0
298211206,0,0,0,0,0,0,1,1,1,1,0
299211301,0,0,0,0,0,0,1,1,1,1,0
300211413,0,0,0,0,0,0,1,1,1,1,0
301211534,0,0,0,0,0,0,1,1,1,1,0
302211566,0,0,0,0,0,0,1,1,1,1,0
303211807,0,0,0,0,0,0,1,1,1,1,0
304221828,0,0,0,0,0,0,1,1,1,1,0
305221868,0,0,0,0,0,0,1,1,1,1,0
306221971,0,0,0,0,0,0,1,1,1,1,0
307222073,0,0,0,0,0,0,1,1,1,1,0
308222162,0,0,0,0,0,0,1,1,1,1,0
309222242,0,0,0,0,0,0,1,1,1,1,0
310222284,0,0,0,0,0,0,1,1,1,1,0
311222401,0,0,0,0,0,0,1,1,1,1,0
312222447,0,0,0,0,0,0,1,1,1,1,0
313222735,0,0,0,0,0,0,1,1,1,1,0
314232563,0,0,0,0,0,0,1,1,1,1,0
315232796,0,0,0,0,0,0,1,1,1,1,0
316242827,0,0,0,0,0,0,1,1,1,1,0
317242894,0,0,0,0,0,0,1,1,1,1,0
318242964,0,0,0,0,0,0,1,1,1,1,0
319243020,0,0,0,0,0,0,1,1,1,1,0
320243288,0,0,0,0,0,0,1,1,1,1,0
321253159,0,0,0,0,0,0,1,1,1,1,0
322253364,0,0,0,0,0,0,1,1,1,1,0
323253490,0,0,0,0,0,0,1,1,1,1,0
324253670,0,0,0,0,0,0,1,1,1,1,0
325263662,0,0,0,0,0,0,1,1,1,1,0
326263687,0,0,0,0,0,0,1,1,1,1,0
327263917,0,0,0,0,0,0,1,1,1,1,0
328273757,0,0,0,0,0,0,1,1,1,1,0
329273848,0,0,0,0,0,0,1,1,1,1,0
330273943,0,0,0,0,0,0,1,1,1,1,0
331273979,0,0,0,0,0,0,1,1,1,1,0
332274070,0,0,0,0,0,0,1,1,1,1,0
333274165,0,0,0,0,0,0,1,1,1,1,0
334274196,0,0,0,0,0,0,1,1,1,1,0
335274284,0,0,0,0,0,0,1,1,1,1,0
336274352,0,0,0,0,0,0,1,1,1,1,0
337274564,0,0,0,0,0,0,1,1,1,1,0
338284469,0,0,0,0,0,0,1,1,1,1,0
339284687,0,0,0,0,0,0,1,1,1,1,0
340294692,0,0,0,0,0,0,1,1,1,1,0
341294751,0,0,0,0,0,0,1,1,1,1,0
342294846,0,0,0,0,0,0,1,1,1,1,0
343294893,0,0,0,0,0,0,1,1,1,1,0
344295119,0,0,0,0,0,0,1,1,1,1,0
345295149,0,0,0,0,0,0,1,1,1,1,0
346295256,0,0,0,0,0,0,1,1,1,1,0
347305125,0,0,0,0,0,0,1,1,1,1,0
348305242,0,0,0,0,0,0,1,1,1,1,0
349305300,0,0,0,0,0,0,1,1,1,1,0
350305380,0,0,0,0,0,0,1,1,1,1,0
351305440,0,0,0,0,0,0,1,1,1,1,0
352305534,0,0,0,0,0,0,1,1,1,1,0
353305607,0,0,0,0,0,0,1,1,1,1,0
354305793,0,0,0,0,0,0,1,1,1,1,0
355315827,0,0,0,0,0,0,1,1,1,1,0
356315893,0,0,0,0,0,0,1,0,1,1,0
357315987,0,0,0,0,0,0,1,0,1,1,0
358316001,0,0,0,0,0,0,1,1,1,1,0
359316103,0,0,0,0,0,0,1,1,1,1,0
360316140,0,0,0,0,0,0,1,1,1,1,0
361316265,0,0,0,0,0,0,1,1,1,1,0
362316368,0,0,0,0,0,0,1,1,1,1,0
363316521,0,0,0,0,0,0,1,1,1,1,0
364316649,0,0,0,0,0,0,1,1,1,1,0
365326587,0,0,0,0,0,0,1,1,1,1,0
366326819,0,0,0,0,0,0,1,1,1,1,0
367336727,0,0,0,0,0,0,1,1,1,1,0
368336873,0,0,0,0,0,0,1,1,1,1,0
369346845,0,0,0,0,0,0,1,1,1,1,0
370346973,0,0,0,0,0,0,1,1,1,1,0
371347070,0,0,0,0,0,0,1,0,1,1,0
372357130,0,0,0,0,0,0,1,1,1,1,0
373357341,0,0,0,0,0,0,1,0,1,1,0
374367163,0,0,0,0,0,0,1,1,1,1,0
375367401,0,0,0,0,0,0,1,0,1,1,0
376377306,0,0,0,0,0,0,1,0,1,1,0
377377473,0,0,0,0,0,0,1,0,1,1,0
378377598,0,0,0,0,0,0,1,0,1,1,0
379387584,0,0,0,0,0,0,1,0,1,1,0
380387654,0,0,0,0,0,0,1,1,1,1,0
381387763,0,0,0,0,0,0,1,0,1,1,0
382387868,0,0,0,0,0,0,1,0,1,1,0
383397925,0,0,0,0,0,0,1,0,1,1,0
384397942,0,0,0,0,0,0,1,1,1,1,0
385398028,0,0,0,0,0,0,1,1,1,1,0
386398114,0,0,0,0,0,0,0,0,1,1,0
387398285,0,0,0,0,0,0,0,0,1,1,0
388408144,0,0,0,0,0,0,0,1,1,1,0
389408344,0,0,0,0,0,0,0,1,0,1,0
390418359,0,0,0,0,0,0,0,1,0,1,0
391418433,0,0,0,0,0,0,0,1,0,1,0
392418477,0,0,0,0,0,0,0,1,1,1,0
393418558,0,0,0,0,0,0,0,1,1,1,0
394418759,0,0,0,0,0,0,0,1,1,1,0
395428665,0,0,0,0,0,0,0,1,1,1,0
396428689,0,0,0,0,0,0,0,1,1,1,0
397428780,0,0,0,0,0,0,0,1,1,1,0
398428830,0,0,0,0,0,0,0,1,1,1,0
399428851,0,0,0,0,0,0,0,1,1,1,0
400428937,0,0,0,0,0,0,0,1,1,1,0
401429020,0,0,0,0,0,0,0,0,1,1,0
402429126,0,0,0,0,0,0,0,1,1,1,0
403439168,0,0,0,0,0,0,0,0,1,1,0
404439233,0,0,0,0,0,0,0,0,1,1,0
405439287,0,0,0,0,0,0,0,0,1,1,0
406439355,0,0,0,0,0,0,0,1,1,1,0
407439422,0,0,0,0,0,0,0,0,1,1,0
408439524,0,0,0,0,0,0,0,1,0,1,0
409439611,0,0,0,0,0,0,0,1,0,1,0
410439685,0,0,0,0,0,0,0,0,1,1,0
411439724,0,0,0,0,0,0,0,0,1,1,0
412439808,0,0,0,0,0,0,0,0,1,1,0
413439859,0,0,0,0,0,0,0,0,1,1,0
414439996,0,0,0,0,0,0,0,0,0,1,0
415450071,0,0,0,0,0,0,0,1,1,1,0
416450187,0,0,0,0,0,0,0,0,1,1,0
417450238,0,0,0,0,0,0,0,0,1,1,0
418460409,0,0,0,0,0,0,0,0,0,1,0
419470226,0,0,0,0,0,0,0,0,0,1,0
420470450,0,0,0,0,0,0,0,1,0,1,0
420480352,0,0,0,0,1,1,0,1,0,1,0
421480459,0,0,0,0,1,1,0,1,0,1,0
422480491,0,0,0,0,1,1,0,1,0,1,0
423480671,0,0,0,0,1,1,0,1,0,1,0
424480742,0,0,0,0,1,1,0,1,0,1,0
425480789,0,0,0,0,1,1,0,1,0,1,0
426480860,0,0,0,0,1,1,0,1,0,1,0
427480944,0,0,0,0,1,1,0,1,0,1,0
428481070,0,0,0,0,1,1,0,1,0,1,0
429481082,0,0,0,0,1,1,0,1,0,1,0
430481125,0,0,0,0,1,1,0,1,0,1,0
431481212,0,0,0,0,1,1,0,1,0,1,0
432481311,0,0,0,0,1,1,0,1,0,1,0
433481437,0,0,0,0,1,1,0,1,0,1,0
434481469,0,0,0,0,1,1,0,1,0,1,0
435481558,0,0,0,0,1,1,0,1,0,1,0
436481610,0,0,0,0,1,1,0,1,0,1,0
437481703,0,0,0,0,1,1,0,1,0,1,0
438481972,0,0,0,0,1,1,0,1,0,1,0
439491776,0,0,0,0,1,1,0,1,0,1,0
440491893,0,0,0,0,1,1,0,1,0,1,0
441491958,0,0,0,0,1,1,0,1,0,1,0
442492029,0,0,0,0,1,1,0,1,0,1,0
443492181,0,0,0,0,1,1,0,1,0,1,0
444492225,0,0,0,0,1,1,0,1,0,1,0
445492355,0,0,0,0,1,1,0,1,0,1,0
446492372,0,0,0,0,1,1,0,1,0,1,0
447492486,0,0,0,0,1,1,0,1,0,1,0
448492554,0,0,0,0,1,1,0,1,0,1,0
449492700,0,0,0,0,1,1,0,1,0,1,0
450492735,0,0,0,0,1,1,0,1,0,1,0
451492890,0,0,0,0,1,1,0,1,0,1,0
452492946,0,0,0,0,1,1,0,1,0,1,0
453493076,0,0,0,0,1,1,0,1,0,1,0
454493182,0,0,0,0,1,1,0,1,0,1,0
455493336,0,0,0,0,1,1,0,1,0,1,0
456493543,0,0,0,0,1,1,0,1,0,1,0
457503454,0,0,0,0,1,1,0,1,0,1,0
458503618,0,0,0,0,1,1,0,1,0,1,0
459513727,0,0,0,0,1,1,0,1,0,1,0
460513846,0,0,0,0,1,1,0,1,0,1,0
461523801,0,0,0,0,1,1,0,1,0,1,0
462523983,0,0,0,0,1,1,0,1,0,1,0
463524142,0,0,0,0,1,1,0,1,0,1,0
464534226,0,0,0,0,1,1,0,1,0,1,0
465534449,0,0,0,0,1,1,0,1,0,1,0
466544311,0,0,0,0,1,1,0,1,0,1,0
467544469,0,0,0,0,1,1,0,1,0,1,0
468544489,0,0,0,0,1,1,0,1,0,1,0
469544579,0,0,0,0,1,1,0,1,0,1,0
470544712,0,0,0,0,1,1,0,1,0,1,0
471544853,0,0,0,0,1,1,0,1,0,1,0
472544925,0,0,0,0,1,1,1,1,0,1,0
473064902,0,1,0,0,1,1,1,0,0,1,0
473405005,0,1,1,0,1,1,1,0,0,1,0
473745153,0,1,1,1,1,1,1,0,0,1,0
474755201,0,1,1,1,1,1,1,0,0,1,0
475405141,0,0,0,0,1,1,1,1,0,1,0
476405242,0,0,0,0,1,1,1,1,0,1,0
477405354,0,0,0,0,1,1,1,1,0,1,0
478405489,0,0,0,0,1,1,1,1,0,1,0
479405585,0,0,0,0,1,1,1,1,0,1,0
480405752,0,0,0,0,1,1,1,1,0,1,0
481405948,0,0,0,0,1,1,1,1,0,1,0
482416078,0,0,0,0,1,1,1,1,0,1,0
483416163,0,0,0,0,1,1,1,1,0,1,0
484416189,0,0,0,0,1,1,1,1,0,1,0
485416309,0,0,0,0,1,1,1,0,0,1,0
486416401,0,0,0,0,1,1,1,1,0,1,0
487416626,0,0,0,0,1,1,1,1,0,1,0
488416651,0,0,0,0,1,1,1,1,0,1,0
488766651,0,0,0,0,0,1,1,0,1,1,0
488846963,0,0,0,0,1,1,1,0,0,1,0
489656792,0,0,0,0,0,1,1,0,1,1,0
489856755,0,0,0,0,1,1,1,1,0,1,0
490676838,0,0,0,0,0,1,1,0,1,1,0
490696843,0,0,0,0,1,1,1,0,0,1,0
491697031,0,0,0,0,1,1,1,0,0,1,0
492697098,0,0,0,0,1,1,1,0,0,1,0
493697260,0,0,0,0,1,1,1,0,0,1,0
494537277,0,1,0,0,1,1,1,0,0,1,0
494557349,0,0,0,0,1,1,1,1,0,1,0
495017376,0,1,0,0,1,1,1,0,0,1,0
495877590,0,1,1,0,1,1,1,0,0,1,0
496217484,0,1,1,1,1,1,1,0,0,1,0
497217647,0,1,1,1,1,1,1,0,0,1,0
497877789,0,1,0,0,1,1,1,0,0,1,0
498337712,0,0,0,0,1,1,1,1,0,1,0
499337865,0,0,0,0,1,1,1,1,0,1,0
500338000,0,0,0,0,1,1,1,0,0,1,0
501338092,0,0,0,0,1,1,1,1,0,1,0
502338219,0,0,0,0,1,1,1,1,0,1,0
503338399,0,0,0,0,1,1,1,1,0,1,0
504338433,0,0,0,0,1,1,1,1,0,1,0
505338586,0,0,0,0,1,1,1,1,0,1,0
506338678,0,0,0,0,1,1,1,1,0,1,0
507238929,0,1,0,0,1,1,1,0,0,1,0
507578847,0,1,1,0,1,1,1,0,0,1,0
507918937,0,1,1,1,1,1,1,0,0,1,0
508919029,0,1,1,1,1,1,1,0,0,1,0
509919150,0,1,1,1,1,1,1,0,0,1,0
510924276,0,1,1,1,1,1,1,0,0,1,0
