"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
0,1,1377699961.00841,36.660723,126.34204,0
0,1,1377699961.0186,36.660723,126.34204,-0
1,1,1377699961.20861,36.660723,126.34204,-0
1,1,1377699961.40847,36.660723,126.34204,-0
1,1,1377699961.60846,36.660723,126.34204,-0
1,1,1377699961.80847,36.660723,126.34204,-0
1,1,1377699962.00849,36.660723,126.34204,-0
1,1,1377699962.20849,36.660723,126.34204,-0
1,1,1377699962.40851,36.660723,126.34204,-0
1,1,1377699962.60866,36.660723,126.34204,-0
1,1,1377699962.8086,36.660723,126.34204,-0
1,1,1377699963.00855,36.660723,126.34204,-0.1
1,1,1377699963.20879,36.660723,126.34204,-0.1
1,1,1377699963.40862,36.660723,126.34204,-0.1
1,1,1377699963.6086,36.660723,126.34204,-0.1
1,1,1377699963.80879,36.660723,126.34204,-0.1
1,1,1377699964.00868,36.660723,126.34204,-0.1
1,1,1377699964.20878,36.660723,126.34204,-0.1
1,1,1377699964.40885,36.660723,126.34204,-0.1
1,1,1377699964.60903,36.660723,126.34204,-0.1
1,1,1377699964.80866,36.660724,126.34204,-0.1
1,1,1377699965.00872,36.660724,126.34204,-0.1
1,1,1377699965.20895,36.660724,126.34204,-0.1
1,1,1377699965.40871,36.660724,126.34204,-0
1,1,1377699965.60877,36.660724,126.34204,-0
1,1,1377699965.80893,36.660724,126.34204,-0
1,1,1377699966.00869,36.660724,126.34204,-0
1,1,1377699966.2088,36.660724,126.34204,-0
1,1,1377699966.40905,36.660724,126.34204,-0
1,1,1377699966.59883,36.660724,126.34204,-0
1,1,1377699966.80892,36.660724,126.34204,-0
1,1,1377699967.00889,36.660724,126.342039,0.1
1,1,1377699967.20886,36.660724,126.342039,0.1
1,1,1377699967.40889,36.660724,126.342039,0.2
1,1,1377699967.60894,36.660724,126.342038,0.3
1,1,1377699967.80908,36.660724,126.342038,0.3
1,1,1377699968.00894,36.660724,126.342038,0.4
1,1,1377699968.20902,36.660724,126.342038,0.5
1,1,1377699968.40899,36.660724,126.342038,0.6
1,1,1377699968.60914,36.660724,126.342038,0.7
1,1,1377699968.80899,36.660723,126.342039,0.9
1,1,1377699969.00926,36.660723,126.342039,1
1,1,1377699969.20904,36.660723,126.342039,1.1
1,1,1377699969.40905,36.660723,126.34204,1.2
1,1,1377699969.60914,36.660722,126.34204,1.4
1,1,1377699969.80907,36.660722,126.34204,1.5
1,1,1377699970.00913,36.660722,126.342041,1.7
1,1,1377699970.20914,36.660722,126.342041,1.9
1,1,1377699970.40926,36.660721,126.342041,2.1
1,1,1377699970.60929,36.660721,126.342042,2.2
1,1,1377699970.80915,36.660721,126.342042,2.4
1,1,1377699971.00917,36.660721,126.342042,2.6
1,1,1377699971.20934,36.660721,126.342042,2.8
1,1,1377699971.40921,36.660722,126.342042,3
1,1,1377699971.60947,36.660722,126.342043,3.2
1,1,1377699971.80943,36.660722,126.342043,3.4
1,1,1377699972.00931,36.660723,126.342043,3.6
1,1,1377699972.20948,36.660723,126.342043,3.8
1,1,1377699972.40952,36.660723,126.342043,4
1,1,1377699972.60936,36.660723,126.342043,4.2
1,1,1377699972.80948,36.660724,126.342043,4.4
1,1,1377699973.00935,36.660724,126.342043,4.6
1,1,1377699973.20977,36.660724,126.342043,4.9
1,1,1377699973.40945,36.660724,126.342042,5.1
1,1,1377699973.60957,36.660725,126.342042,5.3
1,1,1377699973.80947,36.660725,126.342041,5.5
1,1,1377699974.00944,36.660725,126.342041,5.7
1,1,1377699974.20964,36.660725,126.342041,5.9
1,1,1377699974.40965,36.660725,126.342041,6.1
1,1,1377699974.60949,36.660725,126.342041,6.3
1,1,1377699974.80955,36.660725,126.34204,6.5
1,1,1377699975.00955,36.660725,126.34204,6.7
1,1,1377699975.2097,36.660724,126.34204,6.9
1,1,1377699975.40956,36.660724,126.34204,7.1
1,1,1377699975.60975,36.660724,126.34204,7.3
1,1,1377699975.80962,36.660724,126.342039,7.5
1,1,1377699976.00962,36.660723,126.342039,7.7
1,1,1377699976.20963,36.660723,126.342039,7.9
1,1,1377699976.40967,36.660723,126.342039,8.1
1,1,1377699976.60978,36.660723,126.342039,8.4
1,1,1377699976.80983,36.660722,126.342038,8.6
1,1,1377699977.00973,36.660722,126.342038,8.8
1,1,1377699977.20977,36.660722,126.342038,9
1,1,1377699977.40974,36.660722,126.342039,9.1
1,1,1377699977.60977,36.660722,126.342039,9.3
1,1,1377699977.80997,36.660722,126.342039,9.5
1,1,1377699978.00981,36.660722,126.342039,9.6
1,1,1377699978.20999,36.660722,126.342039,9.8
1,1,1377699978.41001,36.660722,126.34204,9.9
1,1,1377699978.61,36.660722,126.34204,10.1
1,1,1377699978.81003,36.660722,126.34204,10.3
1,1,1377699979.01007,36.660722,126.342041,10.6
1,1,1377699979.2099,36.660722,126.342041,11
1,1,1377699979.41006,36.660723,126.342041,11.5
1,1,1377699979.6101,36.660723,126.342041,12
1,1,1377699979.81016,36.660723,126.342041,12.5
1,1,1377699980.01001,36.660723,126.342041,13.1
1,1,1377699980.2102,36.660724,126.342041,13.7
1,1,1377699980.41016,36.660724,126.342041,14.2
1,1,1377699980.6103,36.660724,126.342041,14.8
1,1,1377699980.81006,36.660724,126.342041,15.3
1,1,1377699981.01022,36.660724,126.342041,15.9
1,1,1377699981.21009,36.660724,126.342041,16.5
1,1,1377699981.41028,36.660724,126.342041,17.1
1,1,1377699981.61014,36.660724,126.342041,17.7
1,1,1377699981.81043,36.660724,126.34204,18.3
1,1,1377699982.01016,36.660724,126.34204,18.8
1,1,1377699982.21018,36.660724,126.34204,19.4
1,1,1377699982.41025,36.660724,126.34204,20
1,1,1377699982.61021,36.660724,126.34204,20.6
1,1,1377699982.81023,36.660724,126.34204,21.1
1,1,1377699983.01028,36.660723,126.34204,21.7
1,1,1377699983.21042,36.660723,126.34204,22.3
1,1,1377699983.4004,36.660723,126.34204,22.9
1,1,1377699983.61045,36.660723,126.34204,23.5
1,1,1377699983.81032,36.660723,126.34204,24.1
1,1,1377699984.01034,36.660723,126.34204,24.7
1,1,1377699984.21039,36.660723,126.34204,25.3
1,1,1377699984.41037,36.660723,126.34204,25.9
1,1,1377699984.61059,36.660723,126.34204,26.5
1,1,1377699984.80041,36.660723,126.342041,27
1,1,1377699985.01053,36.660723,126.342041,27.6
1,1,1377699985.21059,36.660723,126.342041,28.2
1,1,1377699985.41063,36.660723,126.342041,28.8
1,1,1377699985.61054,36.660723,126.342042,29.4
1,1,1377699985.81053,36.660723,126.342042,30
1,1,1377699986.01052,36.660724,126.342042,30.6
1,1,1377699986.2006,36.660724,126.342042,31.2
1,1,1377699986.41073,36.660724,126.342042,31.8
1,1,1377699986.61064,36.660724,126.342042,32.3
1,1,1377699986.81059,36.660724,126.342042,32.9
1,1,1377699987.01062,36.660724,126.342042,33.5
1,1,1377699987.2108,36.660724,126.342041,34.1
1,1,1377699987.4108,36.660724,126.342041,34.7
1,1,1377699987.60071,36.660723,126.342041,35.3
1,1,1377699987.81069,36.660723,126.34204,35.9
1,1,1377699988.01075,36.660723,126.34204,36.4
1,1,1377699988.21078,36.660723,126.34204,37
1,1,1377699988.41093,36.660723,126.34204,37.6
1,1,1377699988.61084,36.660722,126.34204,38.2
1,1,1377699988.80082,36.660722,126.34204,38.8
1,1,1377699989.00081,36.660722,126.34204,39.4
1,1,1377699989.21094,36.660722,126.34204,40
1,1,1377699989.41099,36.660722,126.34204,40.5
1,1,1377699989.61103,36.660721,126.342041,41.1
1,1,1377699989.811,36.660721,126.342041,41.7
1,1,1377699990.01091,36.660721,126.342041,42.2
1,1,1377699990.2111,36.660721,126.342042,42.8
1,1,1377699990.40094,36.660721,126.342042,43.3
1,1,1377699990.61108,36.660721,126.342042,43.9
1,1,1377699990.81114,36.660722,126.342043,44.5
1,1,1377699991.01116,36.660722,126.342043,45
1,1,1377699991.21101,36.660722,126.342044,45.5
1,1,1377699991.41125,36.660723,126.342044,46
1,1,1377699991.60105,36.660723,126.342044,46.4
1,1,1377699991.80113,36.660724,126.342044,46.8
1,1,1377699992.01113,36.660724,126.342044,47.1
1,1,1377699992.21131,36.660724,126.342043,47.5
1,1,1377699992.41126,36.660725,126.342043,47.7
1,1,1377699992.6115,36.660725,126.342043,48
1,1,1377699992.81115,36.660725,126.342042,48.2
1,1,1377699993.00117,36.660725,126.342041,48.4
1,1,1377699993.2012,36.660725,126.342041,48.5
1,1,1377699993.41141,36.660725,126.34204,48.7
1,1,1377699993.61141,36.660725,126.34204,48.9
1,1,1377699993.81129,36.660724,126.342039,49
1,1,1377699994.01127,36.660724,126.342039,49.1
1,1,1377699994.21146,36.660723,126.342038,49.2
1,1,1377699994.4014,36.660723,126.342038,49.3
1,1,1377699994.60132,36.660723,126.342037,49.4
1,1,1377699994.81135,36.660722,126.342037,49.4
1,1,1377699995.01143,36.660721,126.342037,49.5
1,1,1377699995.21155,36.66072,126.342036,49.5
1,1,1377699995.41159,36.660718,126.342035,49.5
1,1,1377699995.60137,36.660716,126.342033,49.6
1,1,1377699995.80143,36.660715,126.342031,49.6
1,1,1377699996.00149,36.660713,126.342029,49.6
1,1,1377699996.21149,36.660712,126.342027,49.7
1,1,1377699996.41165,36.660711,126.342026,49.7
1,1,1377699996.61159,36.66071,126.342025,49.7
1,1,1377699996.81158,36.660709,126.342025,49.7
1,1,1377699997.00155,36.660709,126.342025,49.8
1,1,1377699997.20162,36.660709,126.342026,49.8
1,1,1377699997.40159,36.66071,126.342028,49.8
1,1,1377699997.60676,36.66071,126.342034,49.8
1,1,1377699997.80667,36.660712,126.342038,49.8
1,1,1377699998.00668,36.660715,126.342043,49.8
1,1,1377699998.20687,36.660719,126.342047,49.9
1,1,1377699998.40675,36.660724,126.342051,49.9
1,1,1377699998.60679,36.660729,126.342054,49.9
1,1,1377699998.80689,36.660735,126.342058,49.9
1,1,1377699999.00694,36.660741,126.34206,50
1,1,1377699999.2068,36.660747,126.342062,50
1,1,1377699999.40697,36.660752,126.342063,50
1,1,1377699999.60682,36.660757,126.342063,50.1
1,1,1377699999.80684,36.660761,126.342063,50.1
1,1,1377700000.00686,36.660765,126.342062,50.1
1,1,1377700000.20704,36.660767,126.34206,50.1
1,1,1377700000.40698,36.660768,126.342057,50.1
1,1,1377700000.60694,36.660769,126.342054,50.1
1,1,1377700000.80695,36.660769,126.34205,50.1
1,1,1377700001.00701,36.660769,126.342045,50.1
1,1,1377700001.207,36.660769,126.342041,50.1
1,1,1377700001.40714,36.66077,126.342037,50.1
1,1,1377700001.60714,36.660771,126.342034,50.1
1,1,1377700001.80726,36.660772,126.342032,50.1
1,1,1377700002.00714,36.660774,126.342031,50.1
1,1,1377700002.2074,36.660776,126.342031,50
1,1,1377700002.40738,36.660779,126.342032,50
1,1,1377700002.60723,36.660782,126.342034,50
1,1,1377700002.80743,36.660785,126.342036,50
1,1,1377700003.00751,36.660788,126.342037,49.9
1,1,1377700003.20763,36.660791,126.34204,49.9
1,1,1377700003.40752,36.660793,126.342042,49.9
1,1,1377700003.60754,36.660796,126.342043,49.9
1,1,1377700003.80761,36.660799,126.342045,49.9
1,1,1377700004.0073,36.660802,126.342047,49.9
1,1,1377700004.20751,36.660805,126.342048,49.9
1,2,1377700004.40749,36.660807,126.342049,49.9
1,2,1377700004.60749,36.660808,126.342049,49.9
1,2,1377700004.80743,36.660809,126.34205,49.9
1,2,1377700005.00754,36.660809,126.34205,49.9
1,2,1377700005.2074,36.660809,126.342049,49.9
1,2,1377700005.40763,36.660809,126.342049,49.9
1,2,1377700005.60744,36.660809,126.342048,49.9
1,2,1377700005.8075,36.660809,126.342047,49.9
1,2,1377700006.00751,36.660809,126.342047,49.9
1,2,1377700006.20752,36.660808,126.342046,49.9
1,2,1377700006.40775,36.660808,126.342046,49.9
1,2,1377700006.60772,36.660808,126.342045,49.9
1,2,1377700006.80756,36.660807,126.342045,49.9
1,2,1377700007.00775,36.660807,126.342045,49.9
1,2,1377700007.20763,36.660807,126.342044,49.9
1,2,1377700007.40785,36.660806,126.342045,49.9
1,2,1377700007.60764,36.660807,126.342046,50
1,2,1377700007.80795,36.660807,126.342049,50
1,2,1377700008.00771,36.660809,126.342054,50.1
1,2,1377700008.20773,36.66081,126.342062,50.2
1,2,1377700008.40773,36.660813,126.342071,50.3
1,2,1377700008.60779,36.660816,126.342082,50.3
1,2,1377700008.80776,36.66082,126.342094,50.4
1,2,1377700009.008,36.660825,126.342109,50.5
1,2,1377700009.20786,36.66083,126.342125,50.6
1,2,1377700009.408,36.660837,126.342143,50.7
1,2,1377700009.60781,36.660844,126.342162,50.7
1,2,1377700009.80808,36.660852,126.342183,50.7
1,2,1377700010.00805,36.660862,126.342205,50.6
1,2,1377700010.20786,36.660872,126.342229,50.6
1,2,1377700010.40792,36.660884,126.342254,50.5
1,2,1377700010.60831,36.660896,126.34228,50.5
1,2,1377700010.80814,36.660909,126.342308,50.5
1,2,1377700011.00816,36.660923,126.342337,50.6
1,2,1377700011.2083,36.660938,126.342367,50.7
1,2,1377700011.40796,36.660953,126.342399,50.8
1,2,1377700011.60804,36.660968,126.342432,50.9
1,2,1377700011.80807,36.660984,126.342465,51.1
1,2,1377700012.00826,36.661001,126.3425,51.3
1,2,1377700012.20806,36.661017,126.342536,51.5
1,2,1377700012.40819,36.661034,126.342572,51.8
1,2,1377700012.60827,36.661051,126.342608,52.1
1,2,1377700012.80822,36.661067,126.342644,52.4
1,2,1377700013.00824,36.661082,126.34268,52.5
1,2,1377700013.2083,36.661097,126.342718,52.7
1,2,1377700013.40816,36.661108,126.342758,52.9
1,2,1377700013.60837,36.661115,126.342799,53.2
1,2,1377700013.80815,36.661118,126.342841,53.5
1,2,1377700014.00818,36.661119,126.342883,53.8
1,2,1377700014.20821,36.661118,126.342925,54
1,2,1377700014.40821,36.661116,126.342966,54
1,2,1377700014.6084,36.661114,126.343007,53.9
1,2,1377700014.80842,36.661111,126.343049,53.6
1,2,1377700015.00844,36.661109,126.34309,53.3
1,2,1377700015.20836,36.661108,126.343132,52.9
1,2,1377700015.40832,36.661107,126.343175,52.4
1,2,1377700015.60847,36.661108,126.343217,52
1,2,1377700015.80836,36.66111,126.343259,51.7
1,2,1377700016.00843,36.661113,126.343302,51.3
1,2,1377700016.20872,36.661117,126.343346,51
1,2,1377700016.40842,36.661123,126.343389,50.7
1,2,1377700016.60862,36.661129,126.343432,50.5
1,2,1377700016.80883,36.661136,126.343475,50.2
1,2,1377700017.00863,36.661143,126.343519,50
1,2,1377700017.2085,36.661151,126.343563,49.8
1,2,1377700017.40883,36.661159,126.343607,49.6
1,2,1377700017.60875,36.661168,126.34365,49.4
1,2,1377700017.80878,36.661177,126.343694,49.3
1,3,1377700018.00858,36.661186,126.343738,49.2
1,3,1377700018.20878,36.661195,126.343782,49.1
1,3,1377700018.40882,36.661205,126.343826,49.1
1,3,1377700018.60882,36.661214,126.34387,49
1,3,1377700018.80883,36.661223,126.343914,49
1,3,1377700019.00884,36.661233,126.343958,49.1
1,3,1377700019.20894,36.661243,126.344001,49
1,3,1377700019.40875,36.661255,126.344044,48.9
1,3,1377700019.60894,36.66127,126.344085,48.8
1,3,1377700019.80876,36.661289,126.344122,48.7
1,3,1377700020.00883,36.661313,126.344155,48.7
1,3,1377700020.20892,36.66134,126.344182,48.8
1,3,1377700020.40898,36.66137,126.344203,49.1
1,3,1377700020.60897,36.661403,126.344215,49.4
1,3,1377700020.80886,36.661437,126.344221,49.8
1,3,1377700021.00888,36.661472,126.344218,50.2
1,3,1377700021.20923,36.661505,126.344208,50.6
1,3,1377700021.40907,36.661536,126.344191,51
1,3,1377700021.60899,36.661565,126.344169,51.4
1,3,1377700021.80933,36.66159,126.34414,51.8
1,3,1377700022.00898,36.66161,126.344106,52.2
1,3,1377700022.20903,36.661626,126.344068,52.5
1,3,1377700022.40916,36.661636,126.344027,52.9
1,3,1377700022.60922,36.661641,126.343984,53.1
1,3,1377700022.80921,36.661641,126.34394,53.3
1,3,1377700023.00922,36.661635,126.343897,53.4
1,3,1377700023.20915,36.661626,126.343854,53.4
1,3,1377700023.40919,36.661614,126.343811,53.2
1,3,1377700023.60944,36.6616,126.343769,52.8
1,3,1377700023.8093,36.661586,126.343727,52.3
1,3,1377700024.00938,36.661571,126.343685,51.7
1,3,1377700024.20919,36.661558,126.343643,51.1
1,3,1377700024.40922,36.661546,126.343599,50.6
1,3,1377700024.6094,36.661536,126.343555,50.1
1,3,1377700024.80942,36.66153,126.343509,49.8
1,3,1377700025.00938,36.661526,126.343463,49.4
1,3,1377700025.20947,36.661525,126.343417,49.2
1,3,1377700025.40932,36.661527,126.34337,48.9
1,3,1377700025.60947,36.661531,126.343325,48.8
1,3,1377700025.80938,36.661537,126.343279,48.6
1,3,1377700026.00939,36.661546,126.343234,48.5
1,3,1377700026.20939,36.661557,126.34319,48.5
1,3,1377700026.40957,36.661569,126.343148,48.5
1,3,1377700026.6096,36.661584,126.343106,48.4
1,3,1377700026.80964,36.6616,126.343064,48.4
1,3,1377700027.00961,36.661618,126.343023,48.4
1,3,1377700027.20964,36.661637,126.342984,48.3
1,3,1377700027.40984,36.661657,126.342946,48.2
1,3,1377700027.60957,36.661678,126.342908,48.1
1,3,1377700027.80954,36.661699,126.342871,48
1,3,1377700028.00972,36.661722,126.342836,47.9
1,3,1377700028.20975,36.661744,126.342801,47.9
1,3,1377700028.40965,36.661767,126.342766,47.8
1,3,1377700028.60994,36.66179,126.342732,47.7
1,3,1377700028.80979,36.661813,126.342698,47.7
1,3,1377700029.00981,36.661836,126.342665,47.7
1,3,1377700029.20985,36.661859,126.342632,47.7
1,3,1377700029.40984,36.661882,126.342598,47.6
1,3,1377700029.60988,36.661905,126.342566,47.6
1,3,1377700029.8099,36.661928,126.342533,47.5
1,3,1377700030.00977,36.661951,126.3425,47.5
1,3,1377700030.20982,36.661973,126.342468,47.5
1,3,1377700030.40978,36.661996,126.342435,47.5
1,3,1377700030.61,36.662018,126.342402,47.5
1,3,1377700030.80983,36.66204,126.34237,47.5
1,3,1377700031.00985,36.662062,126.342337,47.5
1,3,1377700031.21008,36.662084,126.342304,47.4
1,3,1377700031.41002,36.662106,126.342271,47.4
1,3,1377700031.61006,36.662128,126.342238,47.3
1,3,1377700031.81008,36.66215,126.342205,47.3
1,3,1377700032.00996,36.662172,126.342172,47.3
1,3,1377700032.2101,36.662194,126.342139,47.2
1,3,1377700032.41013,36.662216,126.342106,47.2
1,3,1377700032.61018,36.662237,126.342073,47.3
1,3,1377700032.81005,36.662259,126.342039,47.2
1,3,1377700033.01018,36.662281,126.342006,47.2
1,3,1377700033.21026,36.662303,126.341972,47.2
1,3,1377700033.41024,36.662325,126.341939,47.2
1,3,1377700033.61043,36.662347,126.341906,47.2
1,3,1377700033.8103,36.662369,126.341872,47.2
1,3,1377700034.01013,36.662391,126.341839,47.3
1,3,1377700034.21035,36.662413,126.341807,47.3
1,3,1377700034.4103,36.662435,126.341775,47.4
1,3,1377700034.61031,36.662457,126.341743,47.4
1,3,1377700034.81039,36.66248,126.341713,47.5
1,3,1377700035.01022,36.662503,126.341682,47.5
1,3,1377700035.20024,36.662525,126.341654,47.6
1,4,1377700035.41031,36.66255,126.341622,47.6
1,4,1377700035.61042,36.662573,126.341593,47.7
1,4,1377700035.81047,36.662597,126.341564,47.7
1,4,1377700036.0103,36.662621,126.341535,47.8
1,4,1377700036.21033,36.662645,126.341507,47.8
1,4,1377700036.41035,36.662669,126.341479,47.8
1,4,1377700036.60041,36.662692,126.341452,47.7
1,4,1377700036.8104,36.662717,126.341423,47.7
1,4,1377700037.0106,36.662742,126.341395,47.7
1,4,1377700037.2106,36.662767,126.341367,47.7
1,4,1377700037.41044,36.662791,126.341339,47.8
1,4,1377700037.61063,36.662816,126.341311,47.8
1,4,1377700037.8107,36.66284,126.341283,47.9
1,4,1377700038.00049,36.662864,126.341256,48
1,4,1377700038.21068,36.66289,126.341227,48.1
1,4,1377700038.41069,36.662914,126.341199,48.2
1,4,1377700038.61074,36.662939,126.341171,48.2
1,4,1377700038.81072,36.662963,126.341143,48.3
1,4,1377700039.01074,36.662987,126.341115,48.3
1,4,1377700039.21081,36.663012,126.341087,48.4
1,4,1377700039.40064,36.663035,126.34106,48.3
1,4,1377700039.61077,36.66306,126.341031,48.3
1,4,1377700039.81094,36.663085,126.341003,48.2
1,4,1377700040.01068,36.663109,126.340975,48.2
1,4,1377700040.21094,36.663133,126.340947,48.1
1,4,1377700040.41094,36.663157,126.340919,48.1
1,4,1377700040.61082,36.663181,126.340891,48.2
1,4,1377700040.80076,36.663204,126.340865,48.2
1,4,1377700041.01088,36.66323,126.340836,48.3
1,4,1377700041.21097,36.663254,126.340808,48.4
1,4,1377700041.41098,36.663278,126.34078,48.3
1,4,1377700041.61102,36.663303,126.340752,48.4
1,4,1377700041.81107,36.663327,126.340724,48.4
1,4,1377700042.01085,36.663351,126.340696,48.5
1,4,1377700042.20093,36.663374,126.34067,48.5
1,4,1377700042.41106,36.6634,126.340641,48.5
1,4,1377700042.61105,36.663424,126.340614,48.6
1,4,1377700042.81111,36.663448,126.340587,48.7
1,4,1377700043.01097,36.663472,126.340559,48.7
1,4,1377700043.21099,36.663496,126.340532,48.7
1,4,1377700043.40108,36.663519,126.340506,48.8
1,4,1377700043.60109,36.663543,126.340478,48.8
1,4,1377700043.81131,36.663568,126.340449,48.8
1,4,1377700044.01102,36.663592,126.340422,48.9
1,4,1377700044.21106,36.663616,126.340395,48.9
1,4,1377700044.41129,36.66364,126.340368,48.9
1,4,1377700044.61131,36.663664,126.340341,48.9
1,4,1377700044.80129,36.663687,126.340316,48.9
1,4,1377700045.00127,36.663712,126.340291,48.9
1,4,1377700045.21132,36.663739,126.340266,49
1,4,1377700045.41157,36.663767,126.340246,49.1
1,4,1377700045.61138,36.663796,126.340231,49.2
1,4,1377700045.81128,36.663826,126.340221,49.4
1,4,1377700046.01143,36.663858,126.340218,49.7
1,4,1377700046.20129,36.663887,126.340221,50.1
1,4,1377700046.40129,36.663918,126.340228,50.5
1,4,1377700046.6115,36.66395,126.340239,50.8
1,4,1377700046.81138,36.663979,126.340252,51
1,4,1377700047.01145,36.664008,126.340269,51.1
1,4,1377700047.21176,36.664035,126.340289,51.2
1,4,1377700047.40137,36.66406,126.34031,51.2
1,4,1377700047.60142,36.664086,126.340333,51.1
1,4,1377700047.80162,36.664111,126.340359,50.9
1,4,1377700048.01143,36.664136,126.340387,50.8
1,4,1377700048.21148,36.664159,126.340414,50.6
1,4,1377700048.41159,36.664181,126.340443,50.4
1,4,1377700048.61154,36.664203,126.340472,50.3
1,4,1377700048.80154,36.664224,126.340499,50.1
1,4,1377700049.00165,36.664245,126.340529,49.9
1,4,1377700049.20155,36.664264,126.340559,49.6
1,4,1377700049.40154,36.664283,126.340589,49.2
1,4,1377700049.61174,36.6643,126.340623,48.7
1,4,1377700049.81174,36.664314,126.340659,48.3
1,4,1377700050.01163,36.664323,126.340696,48
1,4,1377700050.20163,36.664328,126.340734,47.8
1,4,1377700050.4016,36.664328,126.340774,47.8
1,4,1377700050.60163,36.664323,126.340815,47.9
1,4,1377700050.81186,36.664312,126.340858,47.9
1,4,1377700051.0117,36.664297,126.340897,48
1,4,1377700051.21173,36.664278,126.340933,48.1
1,4,1377700051.41175,36.664255,126.340966,48.2
1,4,1377700051.60196,36.66423,126.340995,48.2
1,4,1377700051.80181,36.664202,126.341022,48.1
1,4,1377700052.00175,36.664172,126.341044,48
1,4,1377700052.21199,36.664139,126.341063,47.8
1,4,1377700052.41181,36.664106,126.341076,47.5
1,4,1377700052.61201,36.664074,126.341085,47.3
1,4,1377700052.80178,36.664043,126.341091,46.9
1,4,1377700053.00202,36.664011,126.341095,46.5
1,4,1377700053.20211,36.663978,126.341097,46
1,4,1377700053.40202,36.663946,126.341098,45.4
1,4,1377700053.61188,36.663913,126.341097,44.8
1,4,1377700053.8121,36.663882,126.341097,44.2
1,4,1377700054.01216,36.663851,126.341097,43.5
1,4,1377700054.20194,36.663822,126.341098,42.8
1,4,1377700054.40197,36.663792,126.3411,42.2
1,4,1377700054.6021,36.663761,126.341103,41.5
1,4,1377700054.80195,36.663731,126.341107,40.9
1,4,1377700055.01221,36.6637,126.341113,40.2
1,4,1377700055.21223,36.66367,126.341119,39.6
1,4,1377700055.412,36.663641,126.341127,38.9
1,4,1377700055.60202,36.663614,126.341136,38.3
1,4,1377700055.8022,36.663585,126.341145,37.7
1,4,1377700056.00205,36.663557,126.341155,37.1
1,4,1377700056.20206,36.663529,126.341167,36.5
1,4,1377700056.41211,36.6635,126.341179,35.9
1,4,1377700056.61229,36.663472,126.341191,35.4
1,4,1377700056.81228,36.663445,126.341203,34.8
1,4,1377700057.00213,36.663419,126.341216,34.2
1,4,1377700057.20215,36.663392,126.341229,33.5
1,4,1377700057.40224,36.663365,126.341242,32.9
1,4,1377700057.60218,36.663339,126.341256,32.3
1,4,1377700057.81257,36.663311,126.34127,31.6
1,4,1377700058.01221,36.663284,126.341284,31
1,4,1377700058.20228,36.663259,126.341298,30.5
1,4,1377700058.40226,36.663233,126.341311,29.9
